,location,substrate,treatment,concentration,replicate,slope,int,slope.se,int.se,pval,rsq,n,year
85,BS,Pyr-AMC,killed,250,A,46.03238866,3195.651822,10.13986019,13.18542882,0.138028184,0.953723613,3,2013
86,BS,Pyr-AMC,killed,300,A,70.12955466,3134.238462,11.40208345,14.99428968,0.102607629,0.974246566,3,2013
87,BS,Pyr-AMC,killed,400,A,274.6882591,4897.723077,1496.660194,1968.180342,0.884444563,0.032587096,3,2013
88,BS,Pyr-AMC,killed,400,B,89.47368421,5019.614035,18.53598233,24.45844544,0.130046891,0.958848055,3,2013
89,BS,Pyr-AMC,killed,400,C,103.5026186,4508.338597,21.99355422,29.20306378,0.133294454,0.956797565,3,2013
90,BS,Pyr-AMC,live,0,A,-7.375483073,755.9644149,7.042798646,8.866656937,0.485313374,0.523061514,3,2013
91,BS,Pyr-AMC,live,50,A,8.690313779,2066.107322,32.01812884,40.71747122,0.831274423,0.068613409,3,2013
92,BS,Pyr-AMC,live,100,A,222.1502551,3055.733885,17.14915044,21.83790671,0.049047339,0.994076053,3,2013
93,BS,Pyr-AMC,live,150,A,30.55831266,2333.379653,4.448319072,5.683748359,0.09202523,0.979249598,3,2013
94,BS,Pyr-AMC,live,200,A,178.3622829,3085.486352,7.736207081,9.884779755,0.02759517,0.998122267,3,2013
95,BS,Pyr-AMC,live,250,A,95.18272425,3224.045958,47.70332623,61.03658076,0.295766042,0.799246987,3,2013
96,BS,Pyr-AMC,live,300,A,42.41231551,3733.070624,14.62938327,18.78228986,0.211455276,0.893672312,3,2013
97,BS,Pyr-AMC,live,400,A,192.0314236,5225.164736,4.115029454,5.283180744,0.013639998,0.999541011,3,2013
98,BS,Pyr-AMC,live,400,B,113.4010475,5081.405491,32.7717977,42.0748703,0.17909754,0.922921843,3,2013
99,BS,Pyr-AMC,live,400,C,31.2145749,5064.463563,51.03589384,65.61746528,0.650546766,0.272239838,3,2013
100,BS2,Arg-AMC,killed,0,A,22.15116279,1122.562016,1.711910682,2.525457785,0.049102352,0.994062782,3,2013
101,BS2,Arg-AMC,killed,50,A,24.51827243,1630.545958,0.920691459,1.358229397,0.023894633,0.99859189,3,2013
102,BS2,Arg-AMC,killed,100,A,33.08646181,1859.65153,3.281892278,4.871212175,0.062941317,0.990256929,3,2013
103,BS2,Arg-AMC,killed,150,A,35.5697587,2452.959054,7.114562378,10.58320216,0.125676425,0.961532112,3,2013
104,BS2,Arg-AMC,killed,200,A,42.3986602,2655.143756,21.69177855,32.26740669,0.30105504,0.792550269,3,2013
105,BS2,Arg-AMC,killed,250,A,70.62386432,3097.115889,13.93194108,20.85012719,0.123993667,0.962542381,3,2013
106,BS2,Arg-AMC,killed,300,A,66.25672821,3554.43667,19.694894,29.48514613,0.183940514,0.918815068,3,2013
107,BS2,Arg-AMC,killed,400,A,26.63964025,4440.883082,52.65543025,78.8302316,0.701822905,0.203795656,3,2013
108,BS2,Arg-AMC,killed,400,B,45.90243238,4315.290523,16.56523621,24.79974811,0.220482914,0.884772654,3,2013
109,BS2,Arg-AMC,killed,400,C,66.35688492,4334.9876,20.17992015,30.21127682,0.187946023,0.915345159,3,2013
110,BS2,Arg-AMC,live,0,A,20.0539707,1121.609098,6.089554111,8.821489001,0.187681633,0.91557623,3,2013
111,BS2,Arg-AMC,live,50,A,3198.943625,3517.582982,145.9604143,211.4607712,0.029027358,0.997922439,3,2013
112,BS2,Arg-AMC,live,100,A,3941.48405,4393.392279,79.68394631,115.6993542,0.012868621,0.999591451,3,2013
113,BS2,Arg-AMC,live,150,A,4257.500167,4957.055374,69.5831981,101.0443805,0.01040378,0.999732956,3,2013
114,BS2,Arg-AMC,live,200,A,18714.86301,7592.955479,1877.732889,2743.735043,0.063661413,0.990033465,3,2013
115,BS2,Arg-AMC,live,250,A,4508.772392,6117.399104,150.0532741,219.2571845,0.021179077,0.998893647,3,2013
116,BS2,Arg-AMC,live,300,A,8021.167018,8632.278319,505.3107658,738.3578695,0.040052311,0.996047045,3,2013
117,BS2,Arg-AMC,live,400,A,4361.933614,7229.772655,222.3832778,324.9454679,0.032428536,0.9974075,3,2013
118,BS2,Arg-AMC,live,400,B,4186.569767,7158.997093,297.5703568,435.1854607,0.045173288,0.994973402,3,2013
119,BS2,Arg-AMC,live,400,C,-5513.558685,51474.73563,48848.90141,72040.24602,0.928447768,0.012579304,3,2013
120,BS2,Gly-AMC,killed,0,A,18.46200856,1128.178923,2.353387428,3.606963811,0.080715828,0.984010724,3,2013
121,BS2,Gly-AMC,killed,50,A,27.20583225,1878.535191,4.496227824,6.906287682,0.104269779,0.973412977,3,2013
122,BS2,Gly-AMC,killed,100,A,43.58247598,2509.125571,18.05571803,27.73391117,0.250040712,0.853508168,3,2013
123,BS2,Gly-AMC,killed,150,A,47.96647582,3248.240602,16.05405719,24.67141766,0.205611639,0.899264731,3,2013
124,BS2,Gly-AMC,killed,200,A,70.07587777,3847.796992,24.60618499,37.81408401,0.214978069,0.890236742,3,2013
125,BS2,Gly-AMC,killed,250,A,80.35648808,4627.899606,29.50731494,45.61101596,0.224038825,0.881181791,3,2013
126,BS2,Gly-AMC,killed,300,A,87.99551844,5226.272119,28.37119687,43.85485822,0.198557464,0.905836219,3,2013
127,BS2,Gly-AMC,killed,400,A,105.4731893,6605.754991,15.20574685,23.55573289,0.091151486,0.979639077,3,2013
128,BS2,Gly-AMC,killed,400,B,65.73346052,6620.992437,8.677365666,13.44239844,0.083556006,0.982872267,3,2013
129,BS2,Gly-AMC,killed,400,C,30.81964979,6728.331539,15.63412761,24.21935191,0.298863045,0.795335592,3,2013
130,BS2,Gly-AMC,live,0,A,21.67407205,1094.833994,3.292660671,4.940311959,0.095979512,0.977441831,3,2013
131,BS2,Gly-AMC,live,50,A,406.2870987,2198.665051,16.32387072,24.63949366,0.025564465,0.998388317,3,2013
132,BS2,Gly-AMC,live,100,A,598.0418342,2998.628739,7.484272141,11.30123258,0.007966645,0.999843409,3,2013
133,BS2,Gly-AMC,live,150,A,828.815153,3954.111126,183.538144,277.1421472,0.138738245,0.953253847,3,2013
134,BS2,Gly-AMC,live,200,A,760.189412,4587.889078,59.8812578,90.42055241,0.050044156,0.993833315,3,2013
135,BS2,Gly-AMC,live,250,A,795.2840249,5489.332148,68.76936705,104.0711438,0.054912843,0.992578183,3,2013
136,BS2,Gly-AMC,live,300,A,860.6117505,6221.276095,51.08028699,77.76124407,0.03774131,0.996489533,3,2013
137,BS2,Gly-AMC,live,400,A,928.8976378,7738.471129,96.42204102,146.7865258,0.065846998,0.989339872,3,2013
138,BS2,Gly-AMC,live,400,B,1200.920654,8117.243893,116.6590247,177.5939688,0.06164866,0.990651777,3,2013
139,BS2,Gly-AMC,live,400,C,839.7698365,7699.939027,74.75829228,113.8070703,0.05652439,0.992137331,3,2013
