substrate,replicate,treatment,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,calib.se,location,year
GlyGlyArg-AMC,3,live,81906.27253,231011.6698,7014.318748,3929.827332,0.054386376,0.992719466,3,61.73508045,5.286890965,BS,2015
GlyGlyArg-AMC,kill,killed,8971.363636,195850.8409,4806.440991,2732.666681,0.313114927,0.776981461,3,6.761971198,3.622750884,BS,2015
Arg-AMC,1,live,3953.691006,5191.62552,140.032019,157.7073666,9.36E-06,0.9950073,6,2.723755978,0.096470121,DR,2015
Arg-AMC,2,live,4213.749508,4485.792109,166.9965534,189.0033561,1.46E-05,0.993756651,6,2.902914112,0.115046386,DR,2015
Arg-AMC,3,live,4193.603801,4657.60768,182.7542991,207.1178063,2.14E-05,0.992460654,6,2.889035437,0.125902129,DR,2015
Arg-AMC,kill,killed,173.3858268,5340.637795,30.6748732,34.76422976,0.004826534,0.888732252,6,0.11944805,0.021132372,DR,2015
Gly-AMC,1,live,1524.273175,2281.483681,67.04543142,76.45035884,2.22E-05,0.992320644,6,1.050094245,0.046188585,DR,2015
Gly-AMC,2,live,1730.782963,3011.974553,55.71397649,63.88351514,6.40E-06,0.995872313,6,1.192361881,0.038382179,DR,2015
Gly-AMC,3,live,1286.342281,2255.446402,41.43711412,47.51318563,6.42E-06,0.995866414,6,0.886180148,0.028546638,DR,2015
Gly-AMC,kill,killed,323.6526228,2566.419394,47.36689405,54.31247031,0.002399566,0.92108639,6,0.22296906,0.032631751,DR,2015
Leu-AMC,1,live,9101.461116,4280.584795,146.2961292,168.778581,4.00E-07,0.998967584,6,6.270130642,0.100785559,DR,2015
Leu-AMC,2,live,9151.675187,4073.936492,239.5824199,277.5474221,2.81E-06,0.997266118,6,6.304723855,0.165051858,DR,2015
Leu-AMC,3,live,8907.33352,4879.579455,120.2059677,139.4438159,1.99E-07,0.999272052,6,6.136393281,0.082811662,DR,2015
Leu-AMC,kill,killed,130.8069633,4361.716815,32.27919357,37.44517856,0.015445615,0.80412929,6,0.090114844,0.022237612,DR,2015
Pyr-AMC,1,live,806.3359273,4152.054024,103.4714802,120.7680412,0.001462637,0.938203171,6,0.555496699,0.071283027,DR,2015
Pyr-AMC,2,live,961.3354594,4048.060937,175.09086,205.4746205,0.005361485,0.88285437,6,0.66227816,0.120622673,DR,2015
Pyr-AMC,3,live,1177.714398,3353.066559,141.1300299,165.6205203,0.001127185,0.945679606,6,0.811344799,0.097226557,DR,2015
Pyr-AMC,kill,killed,417.5046439,4638.044187,500.8719322,587.7889354,0.451413059,0.14799626,6,0.2876251,0.345058053,DR,2015
GlyGlyArg-AMC,1,live,9394.496341,4298.916026,437.4852019,516.5513536,2.78E-05,0.991400193,6,6.472006926,0.30139,DR,2015
GlyGlyArg-AMC,2,live,10003.3038,3765.519373,434.8386102,516.1981143,2.12E-05,0.992498311,6,6.891423352,0.299566724,DR,2015
GlyGlyArg-AMC,3,live,9999.969096,4139.252182,368.6005361,437.5667137,1.10E-05,0.994594688,6,6.889126026,0.253934339,DR,2015
GlyGlyArg-AMC,kill,killed,557.69701,5700.127907,61.36522362,72.85998779,0.000812796,0.953807777,6,0.384205686,0.042275407,DR,2015
Arg-AMC,1,live,78030.99964,191741.9003,11457.54352,12049.35015,0.020886891,0.95866248,4,50.68330465,7.441993199,FP,2015
Arg-AMC,2,live,77290.45872,192113.4358,10354.46414,11004.91687,0.017478325,0.965348841,4,50.20230272,6.725512463,FP,2015
Arg-AMC,3,live,80238.49202,190410.8195,11532.39247,12335.7074,0.020038472,0.960324596,4,52.11713235,7.490609674,FP,2015
Arg-AMC,kill,killed,3461.504587,184527.8376,6372.696772,6859.905417,0.641452769,0.128556117,4,2.248343509,4.139243806,FP,2015
Gly-AMC,1,live,67450.11773,218934.9784,17563.78878,19066.80306,0.06160682,0.880581759,4,43.81072755,11.40816934,FP,2015
Gly-AMC,2,live,59775.19266,161280.0766,15665.6506,17078.23377,0.062331043,0.879223073,4,38.82565024,10.1752758,FP,2015
Gly-AMC,3,live,67278.6651,167219.7959,22355.8117,24575.8631,0.09494999,0.81911552,4,43.6993643,14.52072151,FP,2015
Gly-AMC,kill,killed,1438.250317,186644.0893,1049.651217,1153.887184,0.304152923,0.484203155,4,0.934183585,0.681777661,FP,2015
Leu-AMC,1,live,208690.4037,171299.7133,17494.26949,19313.15058,0.006954054,0.986140252,4,135.5502218,11.36301463,FP,2015
Leu-AMC,2,live,214639.2791,179391.6668,14916.57787,16603.88516,0.004794989,0.990433015,4,139.4141818,9.68873222,FP,2015
Leu-AMC,3,live,207579.1723,177810.0157,20068.30066,22338.3515,0.00921757,0.981649824,4,134.8284461,13.03491947,FP,2015
Leu-AMC,kill,killed,1044.63589,147939.8592,5581.017781,6214.236287,0.868790407,0.017215957,4,0.678520066,3.625026281,FP,2015
Pyr-AMC,1,live,10891.75512,212212.0973,10367.91258,11684.68297,0.403688174,0.355587794,4,7.074497896,6.734247601,FP,2015
Pyr-AMC,2,live,7929.153715,216536.3421,11304.61451,12744.87708,0.555676457,0.197423411,4,5.150205882,7.342661553,FP,2015
Pyr-AMC,3,live,5633.004658,219538.6747,10385.40535,11781.25711,0.641902227,0.128234015,4,3.658793204,6.745609639,FP,2015
Pyr-AMC,kill,killed,34937.32295,199616.3988,19594.73615,22356.94612,0.216526672,0.613830456,4,22.69276302,12.72732614,FP,2015
