fluorimeter number,site,substrate ,sample.type,rep,RFU,time,date,exp.time,exp.date,year,when
1,FP2016,4,filter,2,161651.31,15:09,6/1/2016,14:32,6/1/2016,2016,PEEC2169
1,FP2016,4,filter,3,190108.78,15:09,6/1/2016,14:32,6/1/2016,2016,PEEC2170
1,FP2016,4,filter,k,167877.01,15:09,6/1/2016,14:32,6/1/2016,2016,PEEC2171
1,FP2016,5,filter,1,260867.26,15:10,6/1/2016,14:32,6/1/2016,2016,PEEC2172
1,FP2016,5,filter,2,285931.37,15:10,6/1/2016,14:32,6/1/2016,2016,PEEC2173
1,FP2016,5,filter,3,269519.59,15:10,6/1/2016,14:32,6/1/2016,2016,PEEC2174
1,FP2016,5,filter,k,174911.79,15:11,6/1/2016,14:32,6/1/2016,2016,PEEC2175
1,FP2016,6,filter,1,6505.3,15:11,6/1/2016,14:32,6/1/2016,2016,PEEC2176
1,FP2016,6,filter,2,6073.03,15:11,6/1/2016,14:32,6/1/2016,2016,PEEC2177
1,FP2016,6,filter,3,6343.15,15:12,6/1/2016,14:32,6/1/2016,2016,PEEC2178
1,FP2016,6,filter,k,2514.26,15:12,6/1/2016,14:32,6/1/2016,2016,PEEC2179
1,FP2016,7,filter,1,41917.72,15:12,6/1/2016,14:32,6/1/2016,2016,PEEC2180
1,FP2016,7,filter,2,43052.23,15:13,6/1/2016,14:32,6/1/2016,2016,PEEC2181
1,FP2016,7,filter,3,41456.37,15:13,6/1/2016,14:32,6/1/2016,2016,PEEC2182
1,FP2016,7,filter,k,37801.56,15:13,6/1/2016,14:32,6/1/2016,2016,PEEC2183
1,FP2016,1,filter,1,130611.97,15:28,6/1/2016,14:32,6/1/2016,2016,PEEC2184
1,FP2016,1,filter,2,135820.46,15:28,6/1/2016,14:32,6/1/2016,2016,PEEC2185
1,FP2016,1,filter,3,135051.07,15:28,6/1/2016,14:32,6/1/2016,2016,PEEC2186
1,FP2016,1,filter,k,97833.54,15:29,6/1/2016,14:32,6/1/2016,2016,PEEC2187
1,FP2016,2,filter,1,193296.93,15:29,6/1/2016,14:32,6/1/2016,2016,PEEC2188
1,FP2016,2,filter,2,177223.01,15:30,6/1/2016,14:32,6/1/2016,2016,PEEC2189
1,FP2016,2,filter,3,214268.65,15:30,6/1/2016,14:32,6/1/2016,2016,PEEC2190
1,FP2016,2,filter,k,166138.03,15:30,6/1/2016,14:32,6/1/2016,2016,PEEC2191
1,FP2016,3,filter,1,167550.42,15:31,6/1/2016,14:32,6/1/2016,2016,PEEC2192
1,FP2016,3,filter,2,214202.67,15:31,6/1/2016,14:32,6/1/2016,2016,PEEC2193
1,FP2016,3,filter,3,208740.98,15:32,6/1/2016,14:32,6/1/2016,2016,PEEC2194
1,FP2016,3,filter,k,131360.92,15:32,6/1/2016,14:32,6/1/2016,2016,PEEC2195
1,FP2016,4,filter,1,165334.07,15:32,6/1/2016,14:32,6/1/2016,2016,PEEC2196
1,FP2016,4,filter,2,160453.46,15:33,6/1/2016,14:32,6/1/2016,2016,PEEC2197
1,FP2016,4,filter,3,189054.56,15:33,6/1/2016,14:32,6/1/2016,2016,PEEC2198
1,FP2016,4,filter,k,166767.18,15:34,6/1/2016,14:32,6/1/2016,2016,PEEC2199
1,FP2016,5,filter,1,295699.81,15:34,6/1/2016,14:32,6/1/2016,2016,PEEC2200
1,FP2016,5,filter,2,323050.12,15:35,6/1/2016,14:32,6/1/2016,2016,PEEC2201
1,FP2016,5,filter,3,306185.9,15:35,6/1/2016,14:32,6/1/2016,2016,PEEC2202
1,FP2016,5,filter,k,170394.39,15:36,6/1/2016,14:32,6/1/2016,2016,PEEC2203
1,FP2016,6,filter,1,7918.55,15:36,6/1/2016,14:32,6/1/2016,2016,PEEC2204
1,FP2016,6,filter,2,7346.01,15:37,6/1/2016,14:32,6/1/2016,2016,PEEC2205
1,FP2016,6,filter,3,7627.17,15:37,6/1/2016,14:32,6/1/2016,2016,PEEC2206
1,FP2016,6,filter,k,2593.91,15:38,6/1/2016,14:32,6/1/2016,2016,PEEC2207
1,FP2016,7,filter,1,42349.31,15:38,6/1/2016,14:32,6/1/2016,2016,PEEC2208
