fluorophore,site,when,sample.type,substrate,treatment,replicate,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,v0,v0.se,fluorimeter
AMC,bb2,PEEC2016,filter,Gly-AMC,killed,k,NA,218071.34,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Pyr-AMC,live,2,NA,287006.81,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Pyr-AMC,live,3,NA,268082.62,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Leu-AMC,live,3,NA,882727.81,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,GGR-AMC,live,1,NA,1734625.37,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Leu-AMC,live,1,NA,863337.06,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Leu-AMC,live,2,NA,870904.25,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,GGR-AMC,killed,k,NA,251315.64,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Gly-AMC,live,3,NA,476628.75,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Pyr-AMC,live,1,NA,267084.83,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,GGR-AMC,live,3,NA,1724384.87,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,whole,Gly-AMC,live,2,209382.7458,353077.5576,56921.69156,46301.75215,0.168984188,0.931181065,3,121.2146367,1727.371806,469.5942101,UT
AMC,bb2,PEEC2016,whole,Gly-AMC,live,3,122442.5591,354042.069,18636.79051,15000.82632,0.096160834,0.977357168,3,121.2146367,1010.13015,153.750331,UT
AMC,bb2,PEEC2016,whole,Arg-AMC,live,3,844593.7047,567783.1904,118684.2483,96541.20424,0.088877317,0.980635858,3,121.2146367,6967.753465,979.1247295,UT
