"","fluorimeter","substrate","when","treatment","site","slope","int","slope.se","int.se","pval","rsq","n"
"82","MXS","Pyr-AMC","PEEC2013","killed","RR2",164413.913043478,-66607.4057971014,19600.9860482646,8465.44276265691,3.10035410485606e-05,0.89790613745959,10
"83","MXS","Pyr-AMC","PEEC2013","killed","SI",462.325535025921,3780.04479595906,2109.98490496952,1401.06281262545,0.829027245274884,0.00266015981123582,20
"84","MXS","Pyr-AMC","PEEC2013","killed","SW",165.440755378884,4504.93403191453,677.013330404606,936.093176822507,0.809709256094448,0.00330658470549228,20
"85","MXS","Pyr-AMC","PEEC2013","killed","SW2",103532.127659574,-33793.3049645389,19179.3688875179,7266.11542729842,0.000647484384227848,0.784595743512783,10
"86","MXS","Pyr-AMC","PEEC2013","killed","TW",75.5260013277275,4081.63558161835,403.856668535312,652.433055534117,0.852999803297414,0.00124749357580356,30
"87","MXS","Pyr-AMC","PEEC2013","live","BW",14.8252354446115,243.275858394703,15.4728404829634,22.5080492495508,0.350682999280826,0.0485273851078358,20
"88","MXS","Pyr-AMC","PEEC2013","live","DR",115.846200232836,4026.75734822661,397.097508170247,878.899848547777,0.772641774700897,0.00303035262880609,30
"89","MXS","Pyr-AMC","PEEC2013","live","GW",112.606372864167,3771.55463392402,495.778491567326,912.54260753484,0.822882009009488,0.00285782188496695,20
"90","MXS","Pyr-AMC","PEEC2013","live","LL",107534.655737707,-335697.968852465,18643.2589173956,58819.9825156361,0.000420234609454976,0.806154748280941,10
"91","MXS","Pyr-AMC","PEEC2013","live","PP",46.3010497541266,3810.9925458596,300.70405217246,688.308979660188,0.878733510421491,0.000846013918684133,30
"92","MXS","Pyr-AMC","PEEC2013","live","RR",99.5504027971366,4333.51831699308,729.419497984303,963.145286593734,0.892957532987058,0.00103373595902897,20
"93","MXS","Pyr-AMC","PEEC2013","live","RR2",136100.587155963,-45410.9229357797,20341.1694077388,7500.68650787646,0.000154147444716406,0.848393105010411,10
"94","MXS","Pyr-AMC","PEEC2013","live","SI",568.075634720193,4201.60226638309,2328.3096873846,1438.88157260222,0.810000738794224,0.00329628236937322,20
"95","MXS","Pyr-AMC","PEEC2013","live","SW",197.106108012515,4567.99393506552,702.627228477738,949.962522225392,0.782271781872257,0.00435294442427273,20
"96","MXS","Pyr-AMC","PEEC2013","live","SW2",185393.142857143,-53732.0857142859,26206.5954153782,8392.47777433188,0.000104618879233257,0.862177384298804,10
"97","MXS","Pyr-AMC","PEEC2013","live","TW",83.0649997168486,4198.14602257836,428.097545641179,679.506374146986,0.847550989703558,0.00134279300161985,30
"98","MXS","Pyr-AMC","PEEC2015","killed","DR2015",417.504643861062,4638.04418654349,500.871932207628,587.788935372714,0.451413059062329,0.147996259817552,6
"99","MXS","Pyr-AMC","PEEC2015","live","DR2015",981.807029147345,3851.37424172748,114.408512592627,134.019539536533,2.20537973794574e-07,0.821515620739585,18
"100","MXS","GGR-AMC","PEEC2013","killed","BS",176220,-192056.8,42690.951322264,47405.995341226,0.00616211237899583,0.739569646489658,8
"101","MXS","GGR-AMC","PEEC2013","killed","BW",115.595825222904,5696.09327984656,2120.8997207618,3342.97435982463,0.957431162441117,0.000247488650316044,14
"102","MXS","GGR-AMC","PEEC2013","killed","DR",41.4287819270835,4308.53386296311,412.934992117678,954.268885915263,0.920799168045652,0.000359357596207139,30
"103","MXS","GGR-AMC","PEEC2013","killed","GW",98.0318956671328,4248.95793032341,551.896226368244,1074.50012585696,0.860999226534291,0.00174979372981162,20
"104","MXS","GGR-AMC","PEEC2013","killed","LL",43.6958006629324,3892.90586367966,340.705600196414,810.165322658134,0.899548616867154,0.00102696263573842,18
"105","MXS","GGR-AMC","PEEC2013","killed","PP",102.807544194075,5511.61408576648,385.499803985197,928.414621640031,0.791664925641967,0.00253362234887033,30
"106","MXS","GGR-AMC","PEEC2013","killed","RR",40.3019117403997,3859.41895591152,769.438244075532,1107.09384658236,0.958967259283438,0.000195925347000132,16
"107","MXS","GGR-AMC","PEEC2013","killed","RR2",137121,-69863.5499999999,15365.6274587144,8262.74621410254,0.00011043201722106,0.929935694187826,8
"108","MXS","GGR-AMC","PEEC2013","killed","SI",-25.0999999999995,3100.445,2912.63394370113,2164.97082214172,0.993293707581597,7.42629855366093e-06,12
"109","MXS","GGR-AMC","PEEC2013","killed","SW",117.812291997801,5041.5975046128,729.808329576179,1060.71126400362,0.873553575811478,0.0014456487398279,20
"110","MXS","GGR-AMC","PEEC2013","killed","SW2",203152.000000001,-90553.7600000003,39452.4429459066,18745.1007914282,0.00087508796935506,0.768217853937304,10
"111","MXS","GGR-AMC","PEEC2013","killed","TW",-28.9135397785314,4679.28336026362,451.58071499494,759.968340329635,0.949403333713369,0.000146389572359779,30
"112","MXS","GGR-AMC","PEEC2013","live","BW",100.693266452727,5761.49315511627,1391.8583545484,2154.37888180867,0.943125580052441,0.000290677900276653,20
"113","MXS","GGR-AMC","PEEC2013","live","DR",382.200953620886,4759.33678485478,481.750684786996,1099.44048813083,0.434240940876159,0.0219849933517784,30
"114","MXS","GGR-AMC","PEEC2013","live","GW",69.9071847834713,4327.3308321816,567.698238752197,1085.2522744541,0.903359646980731,0.000841725175501188,20
"115","MXS","GGR-AMC","PEEC2013","live","LL",114318.666666668,-366385.133333337,17133.4342409485,55598.5881029582,0.000157144073489821,0.847674191818154,10
"116","MXS","GGR-AMC","PEEC2013","live","PP",1362.68150012262,6808.75624253241,587.308670333361,1387.36494928584,0.0278380313661921,0.161259552696585,30
"117","MXS","GGR-AMC","PEEC2013","live","RR",378.297720877884,4221.84888998312,841.001659114548,1177.02681571119,0.659727720009949,0.0142466893033532,16
"118","MXS","GGR-AMC","PEEC2013","live","RR2",230606,-104914.1,58550.9724161076,28187.9507081294,0.00763732768597049,0.721088306677897,8
"119","MXS","GGR-AMC","PEEC2013","live","SI",959.85843413532,4785.26914130001,2661.45367240035,1891.16213621346,0.722557348692356,0.00717425934762772,20
"120","MXS","GGR-AMC","PEEC2013","live","SW",-7.44866465463256,4458.49668640738,694.828631038384,984.824097097752,0.991564647776826,6.38448918543254e-06,20
"121","MXS","GGR-AMC","PEEC2013","live","SW2",34515.8571428579,-9921.62857142891,64632.5885929121,27803.7012862626,0.60783532530773,0.0344216556263099,10
"122","MXS","GGR-AMC","PEEC2013","live","TW",1283.18476842645,5501.57516380569,677.400514225324,1118.93421356772,0.0685603427417729,0.113595532704022,30
"123","MXS","GGR-AMC","PEEC2015","killed","DR2015",557.697009966776,5700.12790697675,61.3652236248053,72.8599877865093,0.000812796026906685,0.953807777243621,6
"124","MXS","GGR-AMC","PEEC2015","live","DR2015",9801.14383497644,4066.81915967557,229.955101150869,272.492632233786,6.65494558556622e-18,0.991269396765103,18
"125","UT","Arg-AMC","PEEC2013","killed","BS",70.9710808336474,1927.30760766151,246.452058231315,303.328267838718,0.77665832749073,0.0045859487957379,20
"126","UT","Arg-AMC","PEEC2013","killed","EC",14.0619288414468,1326.89534528427,164.177509834673,260.340588963281,0.932689568722648,0.00040739246667671,20
"127","UT","Arg-AMC","PEEC2013","killed","FP",63212.6956521739,-2090.76521739131,13347.7624775428,887.065689380617,0.00147183983998141,0.737084770791451,10
"128","UT","Arg-AMC","PEEC2013","killed","FP2",69004.0869565218,-2754.09565217391,10004.5811755943,664.884523711318,0.000124874597383549,0.856042722793903,10
"129","UT","Arg-AMC","PEEC2013","killed","LL",32.7436833399874,3245.78561854788,301.498580570119,467.239042772181,0.914718797407495,0.000654828439785994,20
"130","UT","Arg-AMC","PEEC2013","live","BS",66879.3136636493,86753.8394294426,21557.324358563,24700.2581177383,0.00501903282699862,0.295015883531188,25
"131","UT","Arg-AMC","PEEC2013","live","EC",2139.9066659918,2236.28081186415,463.727788345777,724.178331260519,0.000215241449438785,0.541918323472541,20
"132","UT","Arg-AMC","PEEC2013","live","FP",375140.869565217,12261.0869565217,122097.493715656,2492.30465396694,0.0152905164494767,0.541286272396104,10
"133","UT","Arg-AMC","PEEC2013","live","FP2",289675.739130435,8650.67391304348,85706.4332680748,1749.47524317234,0.00964365426883356,0.588126789135139,10
"134","UT","Arg-AMC","PEEC2013","live","LL",2104.96526583723,2915.39148302211,475.534820363711,723.718760702563,0.000325788658419692,0.521201408567408,20
"135","UT","Arg-AMC","PEEC2015","killed","AC",-11542.3828466091,66282.2203356942,7803.30456402034,6488.69265265584,0.235644709685332,0.421734911448245,5
"136","UT","Arg-AMC","PEEC2015","killed","BB1",3788.99883503372,152059.83866982,465.621217713568,570.293599053872,0.000185082340283084,0.916919510732864,8
"137","UT","Arg-AMC","PEEC2015","killed","BB2",10269.3075108439,71798.7922152043,2103.5946552365,2489.05614690109,0.0164335818188864,0.888192678534967,5
"138","UT","Arg-AMC","PEEC2015","killed","BS2015",-2837.80100937277,165712.255948089,494.402476730049,240.612967888465,0.109809915849662,0.970541442138383,3
"139","UT","Arg-AMC","PEEC2015","killed","FP2015",3461.50458715595,184527.837614679,6372.69677236509,6859.90541747653,0.641452769392377,0.128556116576397,4
"140","UT","Arg-AMC","PEEC2015","killed","TW2015",13.4937650404667,41051.5462699628,698.903578038424,344.31790551365,0.98634912739403,0.00018634632290459,4
"141","UT","Arg-AMC","PEEC2015","live","AC",14293.6887485061,83358.1466621137,1992.20116781093,1644.95723231184,7.20958562751779e-06,0.798381063830253,15
"142","UT","Arg-AMC","PEEC2015","live","BB1",574895.911269438,184795.704288097,9497.63560495371,11511.3719077366,5.77584169226839e-26,0.994031360712709,24
"143","UT","Arg-AMC","PEEC2015","live","BB2",296804.860167723,116333.40778406,4315.47066146533,5065.34464691297,4.82245941235082e-18,0.997259273139894,15
"144","UT","Arg-AMC","PEEC2015","live","BS2015",130528.079834825,182472.214728149,2459.37884169292,1174.95711771131,2.20938790763305e-10,0.997521076714151,9
